Sequence id,superkingdom,phylum,class,order,family,genus,species
Corynebacterium_aurimucosum,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium_aurimucosum
Shigella_sonnei,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Shigella,Shigella_sonnei
Acidovorax_ebreus,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax_ebreus
Streptococcus_agalactiae,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_agalactiae
Methylobacterium_populi,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium_populi
Deinococcus_geothermalis,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus_geothermalis
Streptococcus_gordonii,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_gordonii
Borrelia_bavariensis,Bacteria,Spirochaetes,Spirochaetes_class,Spirochaetales,Spirochaetaceae,Borrelia,Borrelia_bavariensis
Mycobacterium_tuberculosis,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium_tuberculosis
Staphylococcus_saprophyticus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_saprophyticus
Mycoplasma_crocodyli,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_crocodyli
Haemophilus_parasuis,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus_parasuis
Shewanella_oneidensis,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella_oneidensis
Pseudomonas_stutzeri,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_stutzeri
Brucella_melitensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella_melitensis
Thermotoga_lettingae,Bacteria,Thermotogae,Thermotogae_class,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga_lettingae
Bacillus_megaterium,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_megaterium
Streptococcus_thermophilus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_thermophilus
Lactobacillus_fermentum,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_fermentum
Lactobacillus_acidophilus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_acidophilus
Mycobacterium_sp_MCS,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium_sp_MCS
Shewanella_halifaxensis,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella_halifaxensis
Pseudomonas_entomophila,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_entomophila
Clostridium_thermocellum,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_thermocellum
Rhizobium_sp_NGR234,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium_sp_NGR234
Streptococcus_mitis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_mitis
Bartonella_quintana,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella_quintana
Rickettsia_rickettsii,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia_rickettsii
Wolbachia_endosymbiont_of_Drosophila_melanogaster,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Wolbachia,Wolbachia_endosymbiont_of_Drosophila_melanogaster
Cupriavidus_taiwanensis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus_taiwanensis
Yersinia_pseudotuberculosis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,Yersinia_pseudotuberculosis
Corynebacterium_glutamicum,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium_glutamicum
Chlamydophila_felis,Bacteria,Chlamydiae,Chlamydiae_class,Chlamydiales,Chlamydiaceae,Chlamydophila,Chlamydophila_felis
Psychrobacter_arcticus,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_arcticus
Burkholderia_mallei,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_mallei
Shewanella_putrefaciens,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella_putrefaciens
Arthrobacter_sp_FB24,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter_sp_FB24
Francisella_tularensis,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella_tularensis
Bacillus_subtilis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_subtilis
Anaeromyxobacter_dehalogenans,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Anaeromyxobacter,Anaeromyxobacter_dehalogenans
Brucella_abortus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella_abortus
Corynebacterium_efficiens,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium_efficiens
Staphylococcus_lugdunensis,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_lugdunensis
Bifidobacterium_animalis,Bacteria,Actinobacteria,Actinobacteria_class,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_animalis
Geobacter_sulfurreducens,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter_sulfurreducens
Bacillus_amyloliquefaciens,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_amyloliquefaciens
Mycoplasma_arthritidis,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_arthritidis
Mycobacterium_smegmatis,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium_smegmatis
Lactobacillus_brevis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_brevis
Acidovorax_sp_JS42,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax_sp_JS42
Mycobacterium_vanbaalenii,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium_vanbaalenii
Lactobacillus_johnsonii,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_johnsonii
Desulfovibrio_magneticus,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio_magneticus
Thermotoga_sp_RQ2,Bacteria,Thermotogae,Thermotogae_class,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga_sp_RQ2
Methylobacterium_radiotolerans,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium_radiotolerans
Bacillus_clausii,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_clausii
Bacillus_cytotoxicus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_cytotoxicus
Bradyrhizobium_sp_BTAi1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium_sp_BTAi1
Mycobacterium_avium,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium_avium
Streptomyces_avermitilis,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces_avermitilis
Xanthomonas_campestris,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas_campestris
Methylobacterium_sp_4-46,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium_sp_4-46
Rickettsia_prowazekii,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia_prowazekii
Rhodococcus_opacus,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Nocardiaceae,Rhodococcus,Rhodococcus_opacus
Geobacillus_sp_Y412MC10,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,Geobacillus_sp_Y412MC10
Shewanella_denitrificans,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella_denitrificans
Mycoplasma_mobile,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_mobile
Brucella_canis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella_canis
Anaplasma_marginale,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma,Anaplasma_marginale
Francisella_novicida,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella_novicida
Bacillus_cereus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_cereus
Shewanella_amazonensis,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella_amazonensis
Chlorobium_chlorochromatii,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium_chlorochromatii
Chloroflexus_aurantiacus,Bacteria,Chloroflexi,Chloroflexi_class,Chloroflexales,Chloroflexaceae,Chloroflexus,Chloroflexus_aurantiacus
Listeria_welshimeri,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria_welshimeri
Geobacillus_sp_WCH70,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,Geobacillus_sp_WCH70
Rickettsia_bellii,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia_bellii
Pseudomonas_savastanoi,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_savastanoi
Geobacillus_kaustophilus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,Geobacillus_kaustophilus
Streptococcus_dysgalactiae,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_dysgalactiae
Burkholderia_phytofirmans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_phytofirmans
Mycoplasma_synoviae,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_synoviae
Xanthomonas_oryzae,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas_oryzae
Bacillus_licheniformis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_licheniformis
Ehrlichia_canis,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,Ehrlichia_canis
Mycoplasma_penetrans,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_penetrans
Rickettsia_akari,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia_akari
Geobacter_uraniireducens,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter_uraniireducens
Bacillus_pumilus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_pumilus
Frankia_sp_CcI3,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Frankiaceae,Frankia,Frankia_sp_CcI3
Candidatus_Phytoplasma_mali,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus_Phytoplasma,Candidatus_Phytoplasma_mali
Shewanella_pealeana,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella_pealeana
Methylobacterium_chloromethanicum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium_chloromethanicum
Campylobacter_hominis,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_hominis
Mycobacterium_ulcerans,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium_ulcerans
Helicobacter_mustelae,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter_mustelae
Leptospira_biflexa,Bacteria,Spirochaetes,Spirochaetes_class,Spirochaetales,Leptospiraceae,Leptospira,Leptospira_biflexa
Lactobacillus_gasseri,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_gasseri
Shewanella_sediminis,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella_sediminis
Anaplasma_phagocytophilum,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma,Anaplasma_phagocytophilum
Rickettsia_peacockii,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia_peacockii
Staphylococcus_haemolyticus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_haemolyticus
Streptomyces_coelicolor,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces_coelicolor
Thermococcus_kodakarensis,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus_kodakarensis
Vibrio_harveyi,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio_harveyi
Sulfolobus_solfataricus,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus_solfataricus
Mycoplasma_hyopneumoniae,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_hyopneumoniae
Chlamydophila_pneumoniae,Bacteria,Chlamydiae,Chlamydiae_class,Chlamydiales,Chlamydiaceae,Chlamydophila,Chlamydophila_pneumoniae
Borrelia_burgdorferi,Bacteria,Spirochaetes,Spirochaetes_class,Spirochaetales,Spirochaetaceae,Borrelia,Borrelia_burgdorferi
Erwinia_tasmaniensis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Erwinia,Erwinia_tasmaniensis
Streptococcus_sanguinis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_sanguinis
Pyrobaculum_islandicum,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum_islandicum
Methanococcus_vannielii,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus_vannielii
Geobacter_sp_M21,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter_sp_M21
Clostridium_novyi,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_novyi
Burkholderia_multivorans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_multivorans
Bordetella_bronchiseptica,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella_bronchiseptica
Streptococcus_mutans,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_mutans
Anaplasma_centrale,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma,Anaplasma_centrale
Bacteroides_fragilis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_fragilis
Lactobacillus_salivarius,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_salivarius
Burkholderia_cenocepacia,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cenocepacia
Thermococcus_onnurineus,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus_onnurineus
Chlorobium_phaeobacteroides,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium_phaeobacteroides
Corynebacterium_jeikeium,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium_jeikeium
Haemophilus_ducreyi,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus_ducreyi
Bordetella_avium,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella_avium
Arthrobacter_chlorophenolicus,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter_chlorophenolicus
Clostridium_tetani,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_tetani
Geobacter_bemidjiensis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter_bemidjiensis
Rickettsia_massiliae,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia_massiliae
Burkholderia_pseudomallei,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_pseudomallei
Bifidobacterium_dentium,Bacteria,Actinobacteria,Actinobacteria_class,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_dentium
Wolbachia_endosymbiont_of_Brugia_malayi,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Wolbachia,Wolbachia_endosymbiont_of_Brugia_malayi
Thermoanaerobacter_italicus,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,Thermoanaerobacter_italicus
Staphylococcus_aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_aureus
Methanocaldococcus_sp_FS406-22,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus_sp_FS406-22
Methanosarcina_acetivorans,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina_acetivorans
Streptococcus_pyogenes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_pyogenes
Rhodococcus_jostii,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Nocardiaceae,Rhodococcus,Rhodococcus_jostii
Clostridium_acetobutylicum,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_acetobutylicum
Chlamydophila_abortus,Bacteria,Chlamydiae,Chlamydiae_class,Chlamydiales,Chlamydiaceae,Chlamydophila,Chlamydophila_abortus
Borrelia_hermsii,Bacteria,Spirochaetes,Spirochaetes_class,Spirochaetales,Spirochaetaceae,Borrelia,Borrelia_hermsii
Streptococcus_pneumoniae,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_pneumoniae
Borrelia_turicatae,Bacteria,Spirochaetes,Spirochaetes_class,Spirochaetales,Spirochaetaceae,Borrelia,Borrelia_turicatae
Methanococcus_maripaludis,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus_maripaludis
Campylobacter_curvus,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_curvus
Desulfovibrio_salexigens,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio_salexigens
Shewanella_frigidimarina,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella_frigidimarina
Rickettsia_conorii,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia_conorii
Rhodococcus_erythropolis,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Nocardiaceae,Rhodococcus,Rhodococcus_erythropolis
Clostridium_perfringens,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_perfringens
Bordetella_petrii,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella_petrii
Xanthomonas_axonopodis,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas_axonopodis
Helicobacter_hepaticus,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter_hepaticus
